Time (s),AIN0 (V),AIN1 (V)
0.092000,0.091100,0.091100
0.093000,0.091110,0.091104
0.094000,0.091104,0.091097
0.095000,0.091100,0.091100
0.096000,0.091100,0.091097
0.097000,0.091097,0.091094
0.098000,0.091100,0.091097
0.099000,0.091100,0.091100
0.100000,0.091100,0.091097
0.101000,0.091100,0.091097
0.102000,0.091097,0.091091
0.103000,0.091100,0.091094
0.104000,0.091100,0.091097
0.105000,0.091097,0.091094
0.106000,0.091097,0.091091
0.107000,0.091100,0.091088
0.108000,0.091097,0.091091
0.109000,0.091097,0.091097
0.110000,0.091097,0.091094
0.111000,0.091097,0.091094
0.112000,0.091173,0.091167
0.113000,0.091224,0.091221
0.114000,0.091252,0.091252
0.115000,0.091398,0.091395
0.116000,0.091515,0.091509
0.117000,0.091581,0.091575
0.118000,0.091622,0.091622
0.119000,0.091654,0.091654
0.120000,0.091676,0.091673
0.121000,0.091692,0.091692
0.122000,0.091708,0.091698
0.123000,0.091714,0.091711
0.124000,0.091720,0.091714
0.125000,0.091727,0.091724
0.126000,0.091730,0.091724
0.127000,0.091730,0.091724
0.128000,0.091733,0.091730
0.129000,0.091736,0.091730
0.130000,0.091733,0.091730
0.131000,0.091743,0.091733
0.132000,0.091739,0.091736
0.133000,0.091739,0.091739
0.134000,0.091739,0.091733
0.135000,0.091739,0.091736
0.136000,0.091739,0.091736
0.137000,0.091743,0.091736
0.138000,0.091746,0.091736
0.139000,0.091743,0.091743
0.140000,0.091743,0.091743
0.141000,0.091739,0.091739
0.142000,0.091743,0.091736
0.143000,0.091743,0.091736
0.144000,0.091743,0.091739
0.145000,0.091739,0.091739
0.146000,0.091739,0.091739
0.147000,0.091743,0.091743
0.148000,0.091746,0.091739
0.149000,0.091746,0.091739
0.150000,0.091743,0.091739
0.151000,0.091743,0.091739
0.152000,0.091743,0.091743
0.153000,0.091749,0.091739
0.154000,0.091673,0.091667
0.155000,0.091619,0.091616
0.156000,0.091594,0.091581
0.157000,0.091572,0.091565
0.158000,0.091553,0.091550
0.159000,0.091550,0.091543
0.160000,0.091537,0.091540
0.161000,0.091537,0.091527
0.162000,0.091531,0.091527
0.163000,0.091531,0.091521
0.164000,0.091527,0.091521
0.165000,0.091401,0.091395
0.166000,0.091297,0.091290
0.167000,0.091236,0.091233
0.168000,0.091202,0.091195
0.169000,0.091179,0.091170
0.170000,0.091154,0.091157
0.171000,0.091142,0.091142
0.172000,0.091135,0.091132
0.173000,0.091129,0.091123
0.174000,0.091126,0.091123
0.175000,0.091119,0.091116
0.176000,0.091116,0.091110
0.177000,0.091110,0.091107
0.178000,0.091110,0.091100
0.179000,0.091107,0.091110
0.180000,0.091107,0.091104
0.181000,0.091110,0.091104
0.182000,0.091107,0.091100
0.183000,0.091107,0.091100
0.184000,0.091104,0.091100
0.185000,0.091104,0.091104
0.186000,0.091107,0.091100
0.187000,0.091107,0.091104
0.188000,0.091116,0.091113
0.189000,0.091110,0.091104
0.190000,0.091107,0.091107
0.191000,0.091100,0.091107
0.192000,0.091107,0.091100
0.193000,0.091104,0.091107
0.194000,0.091107,0.091104
0.195000,0.091107,0.091097
0.196000,0.091110,0.091100
0.197000,0.091100,0.091104
0.198000,0.091104,0.091097
0.199000,0.091107,0.091100
0.200000,0.091104,0.091097
0.201000,0.091107,0.091107
0.202000,0.091104,0.091104
0.203000,0.091104,0.091104
0.204000,0.091104,0.091100
0.205000,0.091104,0.091104
0.206000,0.091100,0.091097
0.207000,0.091104,0.091100
0.208000,0.091097,0.091094
0.209000,0.091104,0.091097
0.210000,0.091104,0.091094
0.211000,0.091107,0.091097
0.212000,0.091104,0.091100
0.213000,0.091104,0.091100
0.214000,0.091104,0.091100
0.215000,0.091227,0.091224
0.216000,0.091331,0.091325
0.217000,0.091388,0.091382
0.218000,0.091420,0.091420
0.219000,0.091448,0.091445
0.220000,0.091467,0.091461
0.221000,0.091477,0.091477
0.222000,0.091490,0.091490
0.223000,0.091493,0.091490
0.224000,0.091499,0.091496
0.225000,0.091505,0.091499
0.226000,0.091509,0.091509
0.227000,0.091509,0.091505
0.228000,0.091512,0.091509
0.229000,0.091509,0.091509
0.230000,0.091518,0.091512
0.231000,0.091518,0.091515
0.232000,0.091515,0.091515
0.233000,0.091518,0.091515
0.234000,0.091518,0.091512
0.235000,0.091518,0.091512
0.236000,0.091515,0.091512
0.237000,0.091518,0.091515
0.238000,0.091521,0.091515
0.239000,0.091518,0.091518
0.240000,0.091521,0.091515
0.241000,0.091515,0.091515
0.242000,0.091518,0.091515
0.243000,0.091521,0.091515
0.244000,0.091518,0.091512
0.245000,0.091521,0.091515
0.246000,0.091521,0.091515
0.247000,0.091521,0.091518
0.248000,0.091521,0.091518
0.249000,0.091518,0.091515
0.250000,0.091518,0.091515
0.251000,0.091521,0.091512
0.252000,0.091518,0.091515
0.253000,0.091515,0.091518
0.254000,0.091521,0.091515
0.255000,0.091518,0.091515
0.256000,0.091565,0.091556
0.257000,0.091540,0.091537
0.258000,0.091531,0.091524
0.259000,0.091527,0.091521
0.260000,0.091518,0.091518
0.261000,0.091521,0.091515
0.262000,0.091518,0.091515
0.263000,0.091515,0.091512
0.264000,0.091515,0.091515
0.265000,0.091391,0.091385
0.266000,0.091287,0.091287
0.267000,0.091230,0.091227
0.268000,0.091192,0.091189
0.269000,0.091167,0.091161
0.270000,0.091154,0.091145
0.271000,0.091135,0.091132
0.272000,0.091126,0.091129
0.273000,0.091126,0.091116
0.274000,0.091119,0.091110
0.275000,0.091110,0.091107
0.276000,0.091107,0.091110
0.277000,0.091104,0.091104
0.278000,0.091104,0.091100
0.279000,0.091104,0.091100
0.280000,0.091100,0.091100
0.281000,0.091104,0.091097
0.282000,0.091100,0.091094
0.283000,0.091113,0.091104
0.284000,0.091104,0.091104
0.285000,0.091104,0.091097
0.286000,0.091097,0.091097
0.287000,0.091097,0.091097
0.288000,0.091100,0.091094
0.289000,0.091100,0.091094
0.290000,0.091097,0.091094
0.291000,0.091097,0.091094
0.292000,0.091100,0.091097
0.293000,0.091097,0.091094
0.294000,0.091097,0.091091
0.295000,0.091097,0.091094
0.296000,0.091100,0.091091
0.297000,0.091094,0.091094
0.298000,0.091094,0.091100
0.299000,0.091097,0.091094
0.300000,0.091097,0.091091
0.301000,0.091097,0.091091
0.302000,0.091097,0.091091
0.303000,0.091097,0.091094
0.304000,0.091097,0.091091
0.305000,0.091097,0.091097
0.306000,0.091091,0.091094
0.307000,0.091094,0.091088
0.308000,0.091094,0.091094
0.309000,0.091097,0.091097
0.310000,0.091097,0.091097
0.311000,0.091100,0.091094
0.312000,0.091100,0.091100
0.313000,0.091097,0.091094
0.314000,0.091100,0.091100
0.315000,0.091230,0.091224
0.316000,0.091325,0.091325
0.317000,0.091388,0.091382
0.318000,0.091417,0.091420
0.319000,0.091452,0.091445
0.320000,0.091471,0.091464
0.321000,0.091480,0.091477
0.322000,0.091490,0.091483
0.323000,0.091493,0.091490
0.324000,0.091499,0.091496
0.325000,0.091505,0.091502
0.326000,0.091505,0.091505
0.327000,0.091512,0.091505
0.328000,0.091515,0.091505
0.329000,0.091512,0.091509
0.330000,0.091512,0.091515
0.331000,0.091518,0.091512
0.332000,0.091515,0.091515
0.333000,0.091515,0.091509
0.334000,0.091518,0.091512
0.335000,0.091515,0.091515
0.336000,0.091521,0.091512
0.337000,0.091518,0.091512
0.338000,0.091518,0.091512
0.339000,0.091515,0.091515
0.340000,0.091518,0.091512
0.341000,0.091512,0.091515
0.342000,0.091521,0.091515
0.343000,0.091518,0.091515
0.344000,0.091521,0.091515
0.345000,0.091521,0.091515
0.346000,0.091515,0.091518
0.347000,0.091515,0.091512
0.348000,0.091518,0.091512
0.349000,0.091518,0.091515
0.350000,0.091518,0.091515
0.351000,0.091515,0.091518
0.352000,0.091591,0.091594
0.353000,0.091645,0.091641
0.354000,0.091676,0.091673
0.355000,0.091695,0.091695
0.356000,0.091714,0.091714
0.357000,0.091717,0.091714
0.358000,0.091727,0.091724
0.359000,0.091730,0.091727
0.360000,0.091739,0.091736
0.361000,0.091743,0.091736
0.362000,0.091746,0.091736
0.363000,0.091739,0.091743
0.364000,0.091746,0.091743
0.365000,0.091622,0.091616
0.366000,0.091521,0.091515
0.367000,0.091464,0.091458
0.368000,0.091423,0.091423
0.369000,0.091407,0.091401
0.370000,0.091385,0.091382
0.371000,0.091369,0.091369
0.372000,0.091357,0.091360
0.373000,0.091353,0.091353
0.374000,0.091347,0.091344
0.375000,0.091344,0.091344
0.376000,0.091344,0.091341
0.377000,0.091338,0.091338
0.378000,0.091347,0.091344
0.379000,0.091341,0.091347
0.380000,0.091338,0.091331
0.381000,0.091338,0.091335
0.382000,0.091335,0.091331
0.383000,0.091331,0.091335
0.384000,0.091335,0.091335
0.385000,0.091338,0.091328
0.386000,0.091338,0.091331
0.387000,0.091335,0.091331
0.388000,0.091335,0.091328
0.389000,0.091331,0.091328
0.390000,0.091335,0.091328
0.391000,0.091335,0.091328
0.392000,0.091331,0.091331
0.393000,0.091335,0.091328
0.394000,0.091262,0.091252
0.395000,0.091205,0.091205
0.396000,0.091179,0.091170
0.397000,0.091154,0.091157
0.398000,0.091148,0.091145
0.399000,0.091138,0.091135
0.400000,0.091129,0.091123
0.401000,0.091123,0.091119
0.402000,0.091119,0.091116
0.403000,0.091119,0.091110
0.404000,0.091110,0.091113
0.405000,0.091110,0.091110
0.406000,0.091107,0.091104
0.407000,0.091110,0.091107
0.408000,0.091110,0.091107
0.409000,0.091107,0.091110
0.410000,0.091110,0.091104
0.411000,0.091107,0.091104
0.412000,0.091110,0.091104
0.413000,0.091110,0.091100
0.414000,0.091110,0.091104
0.415000,0.091236,0.091227
0.416000,0.091331,0.091341
0.417000,0.091398,0.091385
0.418000,0.091429,0.091426
0.419000,0.091452,0.091455
0.420000,0.091474,0.091467
0.421000,0.091486,0.091480
0.422000,0.091496,0.091490
0.423000,0.091502,0.091499
0.424000,0.091505,0.091505
0.425000,0.091515,0.091505
0.426000,0.091512,0.091509
0.427000,0.091515,0.091515
0.428000,0.091521,0.091515
0.429000,0.091521,0.091515
0.430000,0.091515,0.091512
0.431000,0.091521,0.091515
0.432000,0.091518,0.091521
0.433000,0.091521,0.091518
0.434000,0.091521,0.091518
0.435000,0.091521,0.091518
0.436000,0.091594,0.091591
0.437000,0.091572,0.091572
0.438000,0.091550,0.091550
0.439000,0.091546,0.091537
0.440000,0.091534,0.091527
0.441000,0.091534,0.091524
0.442000,0.091527,0.091521
0.443000,0.091527,0.091524
0.444000,0.091524,0.091524
0.445000,0.091524,0.091518
0.446000,0.091524,0.091521
0.447000,0.091524,0.091518
0.448000,0.091524,0.091518
0.449000,0.091524,0.091521
0.450000,0.091527,0.091524
0.451000,0.091521,0.091521
0.452000,0.091527,0.091521
0.453000,0.091521,0.091524
0.454000,0.091524,0.091521
0.455000,0.091521,0.091521
0.456000,0.091524,0.091518
0.457000,0.091521,0.091521
0.458000,0.091524,0.091524
0.459000,0.091521,0.091521
0.460000,0.091524,0.091518
0.461000,0.091521,0.091521
0.462000,0.091521,0.091515
0.463000,0.091521,0.091518
0.464000,0.091524,0.091521
0.465000,0.091404,0.091395
0.466000,0.091303,0.091293
0.467000,0.091243,0.091233
0.468000,0.091205,0.091202
0.469000,0.091179,0.091176
0.470000,0.091161,0.091154
0.471000,0.091151,0.091145
0.472000,0.091138,0.091138
0.473000,0.091132,0.091132
0.474000,0.091135,0.091129
0.475000,0.091123,0.091116
0.476000,0.091119,0.091116
0.477000,0.091116,0.091116
0.478000,0.091116,0.091116
0.479000,0.091116,0.091110
0.480000,0.091116,0.091113
0.481000,0.091113,0.091110
0.482000,0.091116,0.091113
0.483000,0.091110,0.091110
0.484000,0.091110,0.091107
0.485000,0.091110,0.091110
0.486000,0.091104,0.091110
0.487000,0.091110,0.091107
0.488000,0.091110,0.091110
0.489000,0.091110,0.091107
0.490000,0.091110,0.091107
0.491000,0.091107,0.091107
0.492000,0.091110,0.091110
0.493000,0.091110,0.091104
0.494000,0.091107,0.091107
0.495000,0.091107,0.091104
0.496000,0.091113,0.091107
0.497000,0.091110,0.091110
0.498000,0.091107,0.091110
0.499000,0.091107,0.091107
1.000000,0.091107,0.091107
1.001000,0.091110,0.091110
1.002000,0.091104,0.091104
1.003000,0.091110,0.091104
1.004000,0.091107,0.091107
1.005000,0.091110,0.091094
1.006000,0.091110,0.091100
1.007000,0.091104,0.091104
1.008000,0.091107,0.091104
1.009000,0.091104,0.091107
1.010000,0.091107,0.091100
1.011000,0.091107,0.091107
1.012000,0.091151,0.091145
1.013000,0.091126,0.091119
1.014000,0.091116,0.091113
1.015000,0.091233,0.091233
1.016000,0.091328,0.091328
1.017000,0.091385,0.091388
1.018000,0.091423,0.091417
1.019000,0.091445,0.091445
1.020000,0.091467,0.091464
1.021000,0.091471,0.091474
1.022000,0.091486,0.091483
1.023000,0.091490,0.091490
1.024000,0.091496,0.091493
1.025000,0.091499,0.091499
1.026000,0.091505,0.091499
1.027000,0.091512,0.091499
1.028000,0.091509,0.091505
1.029000,0.091512,0.091505
1.030000,0.091509,0.091505
1.031000,0.091515,0.091509
1.032000,0.091518,0.091509
1.033000,0.091509,0.091509
1.034000,0.091512,0.091505
1.035000,0.091512,0.091509
1.036000,0.091512,0.091512
1.037000,0.091515,0.091509
1.038000,0.091515,0.091505
1.039000,0.091515,0.091509
1.040000,0.091518,0.091512
1.041000,0.091509,0.091515
1.042000,0.091512,0.091509
1.043000,0.091512,0.091515
1.044000,0.091515,0.091512
1.045000,0.091512,0.091509
1.046000,0.091515,0.091509
1.047000,0.091518,0.091505
1.048000,0.091515,0.091515
1.049000,0.091512,0.091509
1.050000,0.091515,0.091512
1.051000,0.091515,0.091512
1.052000,0.091515,0.091512
1.053000,0.091515,0.091515
1.054000,0.091515,0.091515
1.055000,0.091509,0.091512
1.056000,0.091515,0.091512
1.057000,0.091509,0.091512
1.058000,0.091512,0.091509
1.059000,0.091518,0.091509
1.060000,0.091515,0.091515
1.061000,0.091518,0.091505
1.062000,0.091518,0.091521
1.063000,0.091521,0.091518
1.064000,0.091518,0.091518
1.065000,0.091401,0.091395
1.066000,0.091300,0.091290
1.067000,0.091233,0.091240
1.068000,0.091202,0.091202
1.069000,0.091186,0.091189
1.070000,0.091164,0.091161
1.071000,0.091151,0.091148
1.072000,0.091138,0.091135
1.073000,0.091132,0.091129
1.074000,0.091126,0.091123
1.075000,0.091126,0.091119
1.076000,0.091123,0.091116
1.077000,0.091119,0.091119
1.078000,0.091116,0.091107
1.079000,0.091116,0.091113
1.080000,0.091116,0.091110
1.081000,0.091116,0.091110
1.082000,0.091110,0.091110
1.083000,0.091113,0.091110
1.084000,0.091110,0.091104
1.085000,0.091110,0.091110
1.086000,0.091110,0.091104
1.087000,0.091110,0.091107
1.088000,0.091107,0.091104
1.089000,0.091107,0.091104
1.090000,0.091113,0.091107
1.091000,0.091110,0.091104
1.092000,0.091107,0.091107
1.093000,0.091107,0.091107
1.094000,0.091110,0.091107
1.095000,0.091107,0.091104
1.096000,0.091104,0.091104
1.097000,0.091110,0.091100
1.098000,0.091110,0.091107
1.099000,0.091110,0.091104
1.100000,0.091104,0.091104
1.101000,0.091107,0.091100
1.102000,0.091113,0.091100
1.103000,0.091179,0.091179
1.104000,0.091233,0.091233
1.105000,0.091262,0.091259
1.106000,0.091281,0.091278
1.107000,0.091293,0.091293
1.108000,0.091309,0.091306
1.109000,0.091312,0.091306
1.110000,0.091316,0.091316
1.111000,0.091322,0.091319
1.112000,0.091325,0.091322
1.113000,0.091325,0.091319
1.114000,0.091325,0.091322
1.115000,0.091448,0.091448
1.116000,0.091553,0.091553
1.117000,0.091607,0.091603
1.118000,0.091648,0.091645
1.119000,0.091676,0.091673
1.120000,0.091695,0.091689
1.121000,0.091708,0.091705
1.122000,0.091717,0.091717
1.123000,0.091733,0.091724
1.124000,0.091736,0.091727
1.125000,0.091736,0.091733
1.126000,0.091739,0.091736
1.127000,0.091743,0.091739
1.128000,0.091743,0.091739
1.129000,0.091746,0.091739
1.130000,0.091749,0.091743
1.131000,0.091749,0.091749
1.132000,0.091749,0.091743
1.133000,0.091749,0.091743
1.134000,0.091749,0.091746
1.135000,0.091752,0.091746
1.136000,0.091749,0.091749
1.137000,0.091752,0.091746
1.138000,0.091749,0.091743
1.139000,0.091749,0.091749
1.140000,0.091752,0.091749
1.141000,0.091752,0.091746
1.142000,0.091755,0.091749
1.143000,0.091752,0.091746
1.144000,0.091752,0.091746
1.145000,0.091683,0.091670
1.146000,0.091622,0.091622
1.147000,0.091591,0.091591
1.148000,0.091575,0.091572
1.149000,0.091565,0.091556
1.150000,0.091553,0.091550
1.151000,0.091546,0.091543
1.152000,0.091540,0.091537
1.153000,0.091537,0.091531
1.154000,0.091540,0.091534
1.155000,0.091531,0.091531
1.156000,0.091534,0.091527
1.157000,0.091527,0.091527
1.158000,0.091527,0.091521
1.159000,0.091531,0.091521
1.160000,0.091524,0.091531
1.161000,0.091521,0.091524
1.162000,0.091524,0.091524
1.163000,0.091521,0.091524
1.164000,0.091521,0.091527
1.165000,0.091407,0.091404
1.166000,0.091306,0.091297
1.167000,0.091243,0.091236
1.168000,0.091208,0.091205
1.169000,0.091183,0.091176
1.170000,0.091161,0.091157
1.171000,0.091145,0.091145
1.172000,0.091138,0.091138
1.173000,0.091138,0.091126
1.174000,0.091129,0.091129
1.175000,0.091123,0.091123
1.176000,0.091116,0.091116
1.177000,0.091119,0.091113
1.178000,0.091119,0.091113
1.179000,0.091113,0.091113
1.180000,0.091110,0.091110
1.181000,0.091113,0.091110
1.182000,0.091110,0.091110
1.183000,0.091110,0.091110
1.184000,0.091110,0.091107
1.185000,0.091110,0.091107
1.186000,0.091113,0.091110
1.187000,0.091186,0.091186
1.188000,0.091164,0.091157
1.189000,0.091138,0.091135
1.190000,0.091126,0.091126
1.191000,0.091126,0.091116
1.192000,0.091119,0.091116
1.193000,0.091116,0.091113
1.194000,0.091116,0.091110
1.195000,0.091113,0.091110
1.196000,0.091110,0.091104
1.197000,0.091119,0.091107
1.198000,0.091110,0.091104
1.199000,0.091110,0.091104
1.200000,0.091116,0.091104
1.201000,0.091107,0.091107
1.202000,0.091110,0.091104
1.203000,0.091110,0.091107
1.204000,0.091110,0.091104
1.205000,0.091113,0.091110
1.206000,0.091107,0.091104
1.207000,0.091110,0.091104
1.208000,0.091110,0.091100
1.209000,0.091107,0.091107
1.210000,0.091107,0.091100
1.211000,0.091110,0.091104
1.212000,0.091107,0.091104
1.213000,0.091107,0.091107
1.214000,0.091107,0.091100
1.215000,0.091236,0.091230
1.216000,0.091335,0.091331
1.217000,0.091388,0.091388
1.218000,0.091429,0.091423
1.219000,0.091455,0.091445
1.220000,0.091471,0.091471
1.221000,0.091486,0.091480
1.222000,0.091493,0.091486
1.223000,0.091502,0.091502
1.224000,0.091509,0.091502
1.225000,0.091512,0.091505
1.226000,0.091515,0.091512
1.227000,0.091515,0.091515
1.228000,0.091512,0.091512
1.229000,0.091521,0.091515
1.230000,0.091515,0.091521
1.231000,0.091521,0.091515
1.232000,0.091518,0.091512
1.233000,0.091524,0.091515
1.234000,0.091515,0.091515
1.235000,0.091521,0.091515
1.236000,0.091524,0.091521
1.237000,0.091524,0.091518
1.238000,0.091524,0.091518
1.239000,0.091524,0.091521
1.240000,0.091521,0.091521
1.241000,0.091518,0.091515
1.242000,0.091518,0.091521
1.243000,0.091524,0.091521
1.244000,0.091524,0.091515
1.245000,0.091524,0.091518
1.246000,0.091521,0.091521
1.247000,0.091524,0.091521
1.248000,0.091521,0.091521
1.249000,0.091524,0.091521
1.250000,0.091524,0.091518
1.251000,0.091524,0.091518
1.252000,0.091521,0.091515
1.253000,0.091521,0.091521
1.254000,0.091524,0.091518
1.255000,0.091527,0.091518
1.256000,0.091521,0.091521
1.257000,0.091518,0.091521
1.258000,0.091521,0.091521
1.259000,0.091521,0.091521
1.260000,0.091524,0.091521
1.261000,0.091521,0.091521
1.262000,0.091534,0.091531
1.263000,0.091531,0.091527
1.264000,0.091531,0.091518
1.265000,0.091401,0.091401
1.266000,0.091303,0.091297
1.267000,0.091243,0.091243
1.268000,0.091243,0.091243
1.269000,0.091198,0.091195
1.270000,0.091167,0.091167
1.271000,0.091148,0.091145
1.272000,0.091138,0.091135
1.273000,0.091129,0.091129
1.274000,0.091123,0.091119
1.275000,0.091119,0.091116
1.276000,0.091113,0.091110
1.277000,0.091116,0.091110
1.278000,0.091107,0.091110
1.279000,0.091107,0.091107
1.280000,0.091104,0.091104
1.281000,0.091104,0.091100
1.282000,0.091107,0.091104
1.283000,0.091104,0.091104
1.284000,0.091104,0.091104
1.285000,0.091107,0.091100
1.286000,0.091107,0.091100
1.287000,0.091100,0.091104
1.288000,0.091104,0.091097
1.289000,0.091104,0.091100
1.290000,0.091104,0.091097
1.291000,0.091104,0.091100
1.292000,0.091100,0.091097
1.293000,0.091100,0.091100
1.294000,0.091104,0.091094
1.295000,0.091104,0.091097
1.296000,0.091107,0.091100
1.297000,0.091100,0.091097
1.298000,0.091107,0.091094
1.299000,0.091100,0.091094
1.300000,0.091104,0.091097
1.301000,0.091097,0.091097
1.302000,0.091100,0.091097
1.303000,0.091104,0.091094
1.304000,0.091100,0.091094
1.305000,0.091100,0.091100
1.306000,0.091104,0.091094
1.307000,0.091100,0.091097
1.308000,0.091104,0.091091
1.309000,0.091097,0.091097
1.310000,0.091104,0.091094
1.311000,0.091097,0.091091
1.312000,0.091097,0.091097
1.313000,0.091100,0.091094
1.314000,0.091100,0.091094
1.315000,0.091224,0.091221
1.316000,0.091325,0.091325
1.317000,0.091382,0.091382
1.318000,0.091420,0.091417
1.319000,0.091445,0.091439
1.320000,0.091461,0.091464
1.321000,0.091480,0.091471
1.322000,0.091483,0.091483
1.323000,0.091496,0.091493
1.324000,0.091502,0.091499
1.325000,0.091509,0.091499
1.326000,0.091515,0.091509
1.327000,0.091512,0.091509
1.328000,0.091515,0.091512
1.329000,0.091518,0.091512
1.330000,0.091521,0.091515
1.331000,0.091515,0.091515
1.332000,0.091515,0.091515
1.333000,0.091521,0.091518
1.334000,0.091515,0.091512
1.335000,0.091521,0.091518
1.336000,0.091524,0.091515
1.337000,0.091515,0.091515
1.338000,0.091521,0.091518
1.339000,0.091521,0.091515
1.340000,0.091518,0.091518
1.341000,0.091521,0.091515
1.342000,0.091521,0.091518
1.343000,0.091527,0.091521
1.344000,0.091515,0.091521
1.345000,0.091518,0.091518
1.346000,0.091521,0.091521
1.347000,0.091518,0.091515
1.348000,0.091521,0.091515
1.349000,0.091524,0.091512
1.350000,0.091521,0.091518
1.351000,0.091524,0.091512
1.352000,0.091521,0.091521
1.353000,0.091521,0.091521
1.354000,0.091524,0.091518
1.355000,0.091524,0.091512
1.356000,0.091521,0.091521
1.357000,0.091524,0.091518
1.358000,0.091531,0.091521
1.359000,0.091524,0.091527
1.360000,0.091527,0.091521
1.361000,0.091521,0.091521
1.362000,0.091527,0.091521
1.363000,0.091521,0.091521
1.364000,0.091597,0.091594
1.365000,0.091527,0.091521
1.366000,0.091458,0.091452
1.367000,0.091420,0.091414
1.368000,0.091391,0.091395
1.369000,0.091376,0.091376
1.370000,0.091369,0.091363
1.371000,0.091360,0.091357
1.372000,0.091357,0.091350
1.373000,0.091347,0.091344
1.374000,0.091338,0.091344
1.375000,0.091341,0.091341
1.376000,0.091338,0.091338
1.377000,0.091341,0.091331
1.378000,0.091338,0.091331
1.379000,0.091338,0.091331
1.380000,0.091338,0.091331
1.381000,0.091338,0.091335
1.382000,0.091338,0.091335
1.383000,0.091331,0.091331
1.384000,0.091338,0.091335
1.385000,0.091335,0.091335
1.386000,0.091338,0.091331
1.387000,0.091335,0.091328
1.388000,0.091335,0.091328
1.389000,0.091335,0.091331
1.390000,0.091335,0.091331
1.391000,0.091338,0.091328
1.392000,0.091335,0.091328
1.393000,0.091335,0.091331
1.394000,0.091331,0.091335
1.395000,0.091335,0.091331
1.396000,0.091338,0.091331
1.397000,0.091335,0.091338
1.398000,0.091335,0.091331
1.399000,0.091335,0.091328
1.400000,0.091335,0.091331
1.401000,0.091331,0.091328
1.402000,0.091335,0.091331
1.403000,0.091338,0.091331
1.404000,0.091335,0.091335
1.405000,0.091338,0.091331
1.406000,0.091262,0.091255
1.407000,0.091205,0.091208
1.408000,0.091176,0.091179
1.409000,0.091161,0.091161
1.410000,0.091148,0.091142
1.411000,0.091135,0.091132
1.412000,0.091135,0.091126
1.413000,0.091126,0.091116
1.414000,0.091119,0.091119
1.415000,0.091243,0.091236
1.416000,0.091344,0.091338
1.417000,0.091395,0.091391
1.418000,0.091433,0.091433
1.419000,0.091458,0.091458
1.420000,0.091480,0.091471
1.421000,0.091490,0.091486
1.422000,0.091499,0.091499
1.423000,0.091505,0.091499
1.424000,0.091512,0.091502
1.425000,0.091515,0.091509
1.426000,0.091518,0.091512
1.427000,0.091512,0.091509
1.428000,0.091515,0.091515
1.429000,0.091518,0.091518
